nome,data_nascimento,altura,posicao,id_time
Lucas Henrique,2006-07-18,2.08,lateral-direito,17
Thiago Diego,2018-01-11,1.83,meio-campista,9
Igor André,1980-06-20,2.07,zagueiro,1
Thiago André,2008-11-11,1.76,meio-campista,15
João Willian,1995-10-01,1.96,zagueiro,11
Samuel André,1982-02-14,2.08,volante,14
João Nathan,1979-06-09,1.51,volante,19
Diego Felipe,2009-03-04,1.93,atacante,17
Victor Willian,1967-01-06,1.85,meio-campista,3
Nathan Otávio,1967-03-03,1.93,lateral-esquerdo,14
Samuel Henrique,1987-03-11,1.53,lateral-esquerdo,6
Gustavo João,1951-08-06,1.63,meio-campista,20
João Eduardo,2016-03-05,1.79,atacante,11
Bruno Rafael,2010-03-18,1.8,meio-campista,16
André Carlos,2008-03-06,1.74,lateral-direito,1
Victor Victor,2014-12-15,2.04,atacante,15
Felipe Henrique,1979-01-28,1.74,volante,4
Marcelo Samuel,1995-08-13,1.68,goleiro,8
Paulo Lucas,1970-08-14,1.79,atacante,13
João Igor,1963-09-12,1.8,atacante,10
Eduardo Felipe,1980-11-04,1.9,atacante,19
Otávio Rafael,2012-07-12,1.55,atacante,12
Willian Henrique,1983-08-10,1.88,meio-campista,4
Nathan Willian,1962-09-06,1.79,lateral-direito,19
Carlos Bruno,1974-05-07,1.94,volante,1
André Eduardo,1967-05-14,2.06,lateral-esquerdo,12
Diego Paulo,2001-05-11,1.78,zagueiro,19
Willian Gustavo,1975-07-05,1.93,lateral-direito,1
João Carlos,1965-10-06,1.61,volante,1
Lucas Victor,2009-03-19,1.92,zagueiro,16
André Thiago,2008-10-01,1.99,lateral-direito,11
Nathan Bruno,1983-10-18,1.73,goleiro,9
Felipe João,1955-11-01,1.6,meio-campista,10
João Gustavo,1993-02-24,1.72,lateral-direito,11
Paulo Paulo,1979-12-01,1.52,meio-campista,19
Gustavo Eduardo,2015-11-20,2.04,goleiro,2
Paulo Samuel,2000-09-27,1.96,zagueiro,3
Thiago Victor,1994-12-21,1.58,zagueiro,9
Rafael Otávio,1952-12-15,1.86,meio-campista,14
André Carlos,1975-02-24,2.08,lateral-esquerdo,6
Felipe Otávio,1986-12-28,1.59,zagueiro,12
Paulo Willian,2010-05-08,1.99,lateral-direito,9
Bruno Thiago,1997-01-01,1.74,lateral-direito,12
Lucas Felipe,2019-08-25,1.56,goleiro,8
Paulo Bruno,2005-09-23,1.7,zagueiro,19
Paulo Henrique,1994-05-02,1.88,zagueiro,1
Nathan Otávio,2002-02-22,1.82,goleiro,3
João Gustavo,1973-07-21,2.08,lateral-direito,16
Thiago Igor,2000-12-20,1.71,zagueiro,6
João Marcelo,2013-04-14,1.9,goleiro,9
Eduardo Diego,1995-05-19,2.07,goleiro,10
Thiago Carlos,1969-08-10,2.02,goleiro,19
Nathan Otávio,1955-07-28,1.94,volante,11
Rafael André,1993-10-23,2.06,goleiro,9
Gustavo André,1984-12-20,1.77,lateral-esquerdo,12
Otávio Nathan,1964-06-21,1.65,goleiro,2
Diego Bruno,1954-06-20,1.81,lateral-esquerdo,15
André Marcelo,1966-11-09,2.03,goleiro,18
Paulo Henrique,1977-09-11,1.78,lateral-direito,4
André Marcelo,1950-11-16,1.62,lateral-esquerdo,12
Bruno Victor,2014-12-15,1.51,volante,5
Rafael Rafael,2015-11-03,1.79,goleiro,20
Rafael Victor,1962-03-25,1.85,goleiro,4
Lucas André,1995-03-11,1.62,lateral-esquerdo,7
Henrique Victor,1997-11-08,1.74,meio-campista,19
Paulo João,2005-12-06,2.07,meio-campista,8
Bruno Willian,1973-05-23,1.82,zagueiro,13
Marcelo Eduardo,1998-04-04,1.84,goleiro,1
Victor Felipe,1969-04-14,1.96,meio-campista,15
Henrique João,2000-01-27,1.77,volante,11
Felipe Carlos,1956-02-24,1.52,meio-campista,18
Diego Willian,1972-02-18,1.79,zagueiro,3
Gustavo Willian,1983-05-03,1.78,goleiro,14
Rafael Igor,1953-02-14,1.94,zagueiro,2
Igor Victor,2004-12-26,1.54,goleiro,9
Diego Bruno,1953-01-03,1.82,meio-campista,16
André Lucas,2018-10-14,1.68,goleiro,15
Thiago Victor,1970-01-07,1.84,atacante,10
Lucas Henrique,1955-07-07,1.86,goleiro,10
Henrique Otávio,1987-06-15,2.01,atacante,11
Gustavo Thiago,1950-07-06,1.82,volante,12
Henrique Victor,2019-11-15,1.68,lateral-direito,15
Gustavo Marcelo,1997-04-28,2.0,lateral-direito,15
Rafael Bruno,1951-01-11,1.61,volante,20
Henrique Victor,2001-05-02,1.72,lateral-esquerdo,4
Nathan João,1965-01-21,1.69,meio-campista,20
Henrique Felipe,2020-11-25,1.81,volante,4
Otávio Thiago,2015-12-17,1.59,atacante,17
Eduardo Igor,2010-05-19,1.53,zagueiro,19
Paulo Lucas,1958-09-08,2.02,volante,8
Victor Willian,2008-02-28,1.72,goleiro,10
Rafael João,1989-01-19,1.92,meio-campista,7
Carlos Henrique,2004-04-13,1.54,zagueiro,8
Paulo Marcelo,2020-12-01,1.59,goleiro,3
Felipe Paulo,2005-08-03,1.63,zagueiro,20
André Marcelo,1955-02-01,1.52,volante,3
Carlos Otávio,1988-10-16,1.71,lateral-direito,8
Igor Henrique,1987-09-25,1.91,goleiro,9
Diego André,2015-02-24,1.7,atacante,10
Igor Eduardo,2002-03-01,1.5,goleiro,6
Diego Samuel,1958-10-24,1.51,zagueiro,9
Lucas Diego,1954-05-09,1.68,zagueiro,2
Willian Victor,1993-12-03,1.55,lateral-direito,14
Samuel Nathan,1963-06-17,1.64,atacante,19
Felipe Willian,2007-12-13,2.07,goleiro,18
Marcelo Bruno,1994-10-25,1.97,lateral-esquerdo,18
Samuel Lucas,2018-04-16,1.7,atacante,19
Felipe Samuel,1963-08-05,1.68,atacante,11
João Felipe,1956-06-17,1.57,goleiro,9
André Lucas,1998-06-02,2.02,atacante,16
Willian Lucas,2017-10-23,1.56,zagueiro,5
Bruno Paulo,1959-06-17,1.85,zagueiro,14
Thiago Otávio,2019-03-22,1.83,meio-campista,16
Nathan Lucas,2010-06-19,1.88,zagueiro,20
Thiago Lucas,1966-01-16,1.81,volante,6
Bruno Paulo,2017-06-17,1.61,atacante,19
Paulo André,1962-02-27,1.81,lateral-esquerdo,10
André Samuel,1966-09-04,1.54,lateral-esquerdo,13
Carlos Diego,1962-12-23,1.66,zagueiro,7
Samuel Samuel,1987-11-28,1.72,volante,9
Lucas André,1994-06-07,1.68,volante,6
Paulo Felipe,2004-05-25,1.85,meio-campista,18
Gustavo Willian,1992-06-17,1.97,lateral-esquerdo,14
Paulo Willian,1995-02-02,1.51,volante,4
Lucas Carlos,1967-01-03,1.93,meio-campista,12
Henrique Thiago,1974-06-01,1.97,lateral-direito,17
Paulo André,2012-01-03,1.92,goleiro,19
Lucas Diego,2012-09-13,1.54,lateral-direito,3
Felipe André,2017-01-10,1.56,goleiro,13
Thiago Thiago,2016-06-27,1.94,goleiro,1
Igor João,2007-01-10,1.95,lateral-direito,9
Thiago Henrique,2001-07-13,1.74,zagueiro,17
Felipe Thiago,1980-09-15,1.52,meio-campista,11
André Carlos,2015-11-03,2.09,goleiro,13
Lucas Marcelo,1975-10-13,2.05,goleiro,18
Diego Eduardo,1976-07-03,1.92,atacante,15
Gustavo Rafael,1968-11-07,1.79,lateral-esquerdo,5
Samuel Diego,2018-04-04,1.59,zagueiro,12
Carlos Gustavo,1984-03-01,1.78,zagueiro,15
Victor Samuel,1974-06-10,1.92,volante,18
Willian Bruno,1952-06-25,1.61,lateral-direito,17
Diego Samuel,1993-02-23,1.53,meio-campista,11
Diego Henrique,2008-05-15,1.75,zagueiro,9
Diego Otávio,1987-05-26,2.02,meio-campista,8
Felipe Otávio,1993-07-16,1.62,meio-campista,1
Rafael Nathan,2000-05-13,2.09,atacante,13
Henrique Diego,2009-10-05,1.97,volante,6
Nathan Igor,1995-05-10,1.94,goleiro,15
Marcelo Diego,1998-01-24,1.71,lateral-direito,16
Otávio Thiago,1987-03-25,1.77,zagueiro,3
Eduardo Thiago,1998-01-04,1.5,lateral-esquerdo,19
Marcelo Felipe,1976-12-26,1.98,volante,1
Diego Otávio,1989-11-27,1.54,volante,11
Henrique Carlos,1953-05-24,2.03,meio-campista,14
Carlos Thiago,2001-06-24,1.98,lateral-direito,8
Carlos Carlos,1987-02-16,1.74,atacante,5
Henrique Felipe,1980-12-01,2.03,lateral-direito,11
Carlos Marcelo,1992-08-26,1.7,lateral-esquerdo,14
Eduardo Eduardo,2006-01-06,1.94,atacante,11
Igor João,1980-09-01,1.76,volante,14
Thiago Paulo,1988-07-15,1.93,zagueiro,19
André Thiago,1998-12-06,2.06,atacante,20
Diego Nathan,2020-12-26,1.7,zagueiro,17
Diego Paulo,2020-11-04,2.1,volante,7
Samuel João,1981-07-26,1.77,volante,9
Bruno Willian,1982-09-13,1.71,atacante,6
Willian Bruno,1950-12-10,2.05,zagueiro,3
Felipe Willian,2013-02-22,1.87,meio-campista,12
André Igor,1971-12-26,1.63,goleiro,7
Eduardo Paulo,1965-01-17,1.55,zagueiro,14
Carlos Gustavo,1964-01-08,1.85,meio-campista,4
Carlos Marcelo,2015-12-20,1.61,atacante,16
Nathan Samuel,1959-08-14,1.59,lateral-direito,8
Lucas Paulo,1963-05-25,1.88,atacante,15
Eduardo Victor,1981-01-16,1.78,volante,17
Diego Samuel,2010-06-09,1.75,volante,13
Lucas Felipe,1974-12-09,1.56,meio-campista,1
Lucas Carlos,2020-10-15,1.91,atacante,20
Rafael Gustavo,1966-09-02,1.98,atacante,5
Paulo Willian,2020-04-11,1.93,volante,20
Bruno Victor,2001-03-02,1.67,volante,7
Eduardo Lucas,2007-03-26,1.7,meio-campista,3
André Marcelo,1975-04-28,1.73,lateral-esquerdo,18
Nathan Lucas,2001-11-25,1.95,atacante,15
Carlos Thiago,2008-11-19,1.63,lateral-esquerdo,11
Samuel Eduardo,1993-01-24,1.65,volante,12
Otávio Marcelo,1975-07-24,1.97,lateral-esquerdo,13
Gustavo João,2018-01-03,1.8,lateral-direito,9
Marcelo Willian,1989-05-22,1.8,atacante,20
Otávio André,1958-09-12,1.8,lateral-direito,14
Victor Thiago,1999-10-06,1.75,lateral-esquerdo,8
Victor Rafael,2012-07-04,1.7,goleiro,15
Otávio Otávio,1965-05-07,1.96,meio-campista,8
Paulo Paulo,1972-09-19,1.77,volante,15
Diego Victor,2018-05-06,1.98,volante,2
Nathan Eduardo,2002-11-05,1.78,lateral-direito,18
Victor André,2008-11-11,2.09,atacante,19
Lucas Bruno,1990-08-13,1.9,zagueiro,14
Samuel Nathan,1999-01-01,1.55,volante,4
Carlos Felipe,1970-05-16,1.63,lateral-direito,10
Nathan Diego,2015-02-15,1.56,zagueiro,3
Lucas Bruno,1969-07-13,1.99,lateral-esquerdo,15
Willian Willian,2005-05-19,1.94,volante,8
Felipe Diego,1961-06-22,1.96,lateral-esquerdo,9
Carlos Felipe,1992-12-10,1.8,atacante,5
Gustavo Eduardo,1985-01-25,1.55,meio-campista,1
Nathan Henrique,1997-12-19,1.83,volante,10
Henrique Otávio,1961-05-07,1.57,zagueiro,20
Thiago Marcelo,2017-02-10,1.81,zagueiro,16
Carlos Eduardo,1977-11-20,1.68,lateral-esquerdo,1
Samuel Bruno,1987-06-10,2.01,zagueiro,5
Felipe Eduardo,2000-11-19,1.55,zagueiro,6
Thiago Nathan,2000-12-06,2.02,zagueiro,4
Diego Diego,1969-07-26,1.58,lateral-esquerdo,1
Carlos Bruno,1966-11-05,1.69,lateral-esquerdo,19
Victor Rafael,2011-08-24,2.1,lateral-esquerdo,12
Marcelo Gustavo,1960-12-19,1.87,volante,13
Gustavo Marcelo,1966-12-20,1.77,volante,19
Lucas Willian,1971-02-14,1.64,atacante,9
Willian Henrique,1997-03-19,2.09,goleiro,16
Gustavo Bruno,1955-09-19,1.99,volante,16
Diego Carlos,1970-04-16,1.54,volante,6
Eduardo Marcelo,1967-05-22,1.97,atacante,4
Victor Carlos,1993-11-25,2.03,atacante,14
Willian Thiago,2005-03-24,1.75,volante,8
Gustavo Rafael,1981-05-19,2.09,volante,2
Lucas Henrique,2003-03-20,1.85,atacante,20
Henrique Carlos,1984-11-08,1.7,volante,16
Otávio João,1952-11-01,1.61,meio-campista,6
João Lucas,1954-11-09,1.62,lateral-esquerdo,10
Victor Bruno,2002-07-18,1.56,goleiro,19
Nathan Henrique,1972-09-19,2.0,goleiro,11
Carlos Henrique,1978-06-20,1.63,atacante,2
André Nathan,1951-03-14,1.56,lateral-direito,16
André Nathan,1954-12-26,1.66,goleiro,1
Diego Eduardo,1983-10-08,1.5,meio-campista,13
Diego Nathan,1971-12-22,1.98,lateral-esquerdo,11
Gustavo Felipe,2015-05-03,1.54,lateral-direito,5
Bruno Marcelo,1994-03-10,1.7,volante,4
Samuel Otávio,2001-09-27,1.57,goleiro,17
Henrique Paulo,1980-08-03,1.89,meio-campista,7
Felipe Henrique,1974-12-17,1.7,goleiro,11
André André,2011-07-22,1.6,lateral-esquerdo,5
Igor Bruno,2015-02-17,1.99,lateral-esquerdo,19
Henrique Felipe,1954-12-12,2.04,zagueiro,16
Bruno André,1952-07-05,1.63,atacante,8
Samuel Felipe,2000-09-27,2.07,atacante,7
João Eduardo,1984-02-15,1.78,lateral-direito,18
Rafael Felipe,1954-06-09,1.74,volante,14
Samuel Paulo,1981-09-10,1.75,volante,14
Samuel Otávio,2020-08-16,1.71,lateral-direito,8
Samuel Samuel,2003-10-22,1.93,zagueiro,20
Bruno Carlos,1957-04-18,1.92,lateral-esquerdo,12
João Bruno,1972-07-21,2.02,lateral-direito,5
João Henrique,2006-04-21,1.54,lateral-direito,1
Eduardo Thiago,2002-09-15,1.56,lateral-direito,18
Eduardo Lucas,1971-08-14,1.96,lateral-direito,4
Henrique Rafael,1977-05-22,1.99,goleiro,20
Igor Victor,1985-11-25,1.9,lateral-esquerdo,3
Henrique Samuel,1997-07-13,2.02,lateral-direito,4
Samuel Willian,1985-01-05,2.06,lateral-direito,16
Samuel Felipe,1965-06-16,1.75,goleiro,16
Eduardo Rafael,1971-08-17,1.73,atacante,12
Carlos Samuel,2010-11-24,2.08,goleiro,13
Marcelo Thiago,1953-01-20,1.58,meio-campista,14
Igor João,1985-12-22,1.8,zagueiro,8
Victor Thiago,2007-12-16,1.59,meio-campista,19
Eduardo André,1955-11-14,1.75,zagueiro,15
Igor Samuel,1987-02-19,1.52,meio-campista,13
André André,2005-05-27,1.75,lateral-direito,15
João André,1955-11-07,1.85,volante,13
Paulo Thiago,1955-05-28,1.95,lateral-esquerdo,4
Paulo Carlos,1980-07-10,1.86,meio-campista,10
Felipe Eduardo,1976-06-06,1.66,zagueiro,10
Igor Igor,1966-05-09,1.94,goleiro,9
Henrique Igor,1968-03-03,1.78,lateral-direito,8
Igor Carlos,2016-09-17,1.62,zagueiro,7
Eduardo Otávio,2019-09-15,1.77,lateral-esquerdo,20
Samuel Paulo,1985-02-21,1.93,goleiro,1
Nathan Igor,1957-10-08,2.09,volante,1
Rafael Lucas,1969-10-10,2.04,volante,2
Nathan Otávio,1966-06-17,1.88,zagueiro,10
André Nathan,2005-09-28,2.03,volante,15
Victor Eduardo,1988-02-05,1.77,zagueiro,16
Thiago João,1998-01-25,1.65,lateral-esquerdo,2
João Nathan,1984-03-11,1.78,goleiro,2
Paulo Marcelo,2019-01-02,1.87,zagueiro,19
Nathan Nathan,2016-04-24,1.59,meio-campista,5
Samuel João,2017-07-13,1.99,atacante,3
Otávio João,1996-09-08,1.54,zagueiro,18
André Igor,1955-10-13,2.06,goleiro,13
André Gustavo,1961-04-24,1.91,atacante,13
Otávio Paulo,1978-06-14,1.81,lateral-esquerdo,19
Diego Paulo,1965-03-18,1.66,goleiro,13
Samuel Paulo,1968-10-04,2.07,volante,19
Victor Felipe,2007-02-15,1.82,meio-campista,13
Willian Nathan,1976-01-23,1.98,volante,19
Bruno Rafael,2020-12-04,1.57,zagueiro,17
Igor Nathan,1987-01-07,1.5,lateral-direito,6
Otávio Otávio,1954-03-01,2.09,goleiro,20
Bruno Diego,1993-02-26,1.72,lateral-esquerdo,2
Igor Lucas,1961-01-11,1.68,lateral-direito,9
Gustavo Lucas,1963-02-24,1.57,lateral-esquerdo,1
Bruno Willian,1954-04-02,1.84,lateral-direito,6
Eduardo Carlos,1985-04-09,1.91,volante,1
Rafael Felipe,1982-03-19,1.98,atacante,14
Carlos Rafael,1963-05-20,1.88,zagueiro,20
André Willian,2014-06-23,1.67,lateral-esquerdo,3
Diego Samuel,1957-03-15,1.68,goleiro,1
Nathan Carlos,1997-08-08,1.98,lateral-esquerdo,2
Henrique Carlos,1992-04-10,1.74,goleiro,13
Victor Bruno,1991-09-20,1.6,lateral-direito,2
Marcelo Victor,2020-03-08,1.61,volante,13
Felipe Henrique,2017-04-09,1.51,zagueiro,8
Carlos Igor,1986-09-23,2.03,zagueiro,8
Nathan Felipe,2011-04-16,2.01,lateral-direito,12
Igor Otávio,2010-05-05,1.87,zagueiro,8
Paulo Bruno,1969-09-27,2.07,zagueiro,16
Eduardo Nathan,1986-03-18,1.53,zagueiro,3
Eduardo Thiago,2006-04-23,1.95,atacante,17
André Lucas,1975-08-27,1.72,meio-campista,2
André Bruno,2013-07-12,2.01,lateral-esquerdo,6
Lucas André,1986-03-16,1.56,volante,16
Victor Nathan,1972-09-07,1.88,zagueiro,16
Igor Marcelo,1953-09-12,1.85,zagueiro,6
Lucas João,1950-06-22,2.07,lateral-direito,20
Paulo Henrique,1971-02-17,1.74,lateral-esquerdo,4
Igor Diego,1954-09-08,2.05,lateral-esquerdo,5
Samuel Otávio,1974-06-01,1.58,lateral-direito,1
Eduardo Lucas,2008-12-20,1.81,goleiro,16
Willian Bruno,1957-04-15,1.98,zagueiro,3
Samuel Samuel,2011-03-18,1.99,lateral-direito,16
Henrique Paulo,1963-10-13,1.74,atacante,4
Nathan Samuel,1979-06-14,1.68,atacante,3
Eduardo Bruno,1967-09-19,1.58,atacante,12
Otávio Rafael,1968-12-08,1.56,goleiro,6
Henrique Igor,2003-07-23,1.92,volante,9
Marcelo Willian,1991-04-23,2.0,meio-campista,1
Willian Paulo,2000-06-04,1.5,meio-campista,3
Eduardo Samuel,1958-11-03,1.57,atacante,11
Gustavo Diego,1979-08-25,1.7,lateral-direito,19
Eduardo Samuel,1993-09-08,2.03,lateral-direito,4
João Samuel,1965-07-22,1.98,volante,9
Thiago Igor,1972-10-09,2.1,lateral-esquerdo,18
Bruno Samuel,1976-10-04,2.06,goleiro,18
Nathan Samuel,1969-04-16,1.58,goleiro,12
Carlos Nathan,1958-09-01,1.73,volante,1
Willian João,1992-06-22,1.98,volante,3
Samuel Marcelo,1996-11-25,2.01,atacante,4
Otávio Nathan,1999-12-02,1.96,goleiro,7
Felipe Henrique,1959-12-01,1.93,zagueiro,1
Diego Diego,1976-05-02,1.56,zagueiro,15
Samuel Willian,1989-06-10,1.93,volante,7
Eduardo Eduardo,1980-08-11,1.98,lateral-direito,16
Igor Samuel,1993-10-15,1.76,atacante,16
André Lucas,1972-06-03,1.68,lateral-direito,7
Samuel Lucas,1958-05-26,1.57,lateral-direito,3
Victor Thiago,2019-12-01,1.94,lateral-direito,6
Carlos Gustavo,1998-05-03,1.95,goleiro,9
Igor Thiago,1954-05-16,1.76,zagueiro,7
Otávio Felipe,1988-06-03,1.89,goleiro,19
Thiago Igor,1980-06-10,1.52,volante,1
Marcelo João,1972-03-27,1.57,lateral-esquerdo,1
Lucas Samuel,1963-02-11,1.92,lateral-direito,9
Bruno Eduardo,1973-04-19,1.96,goleiro,8
Gustavo Carlos,2013-08-01,2.04,lateral-esquerdo,1
Paulo Igor,1975-01-21,1.59,meio-campista,14
Willian João,1989-06-19,2.05,zagueiro,7
Marcelo Victor,1961-06-17,2.06,goleiro,4
Carlos Igor,1968-04-15,2.06,lateral-direito,19
Diego Nathan,1963-01-18,1.63,goleiro,12
Gustavo Carlos,1967-02-05,1.53,meio-campista,7
Lucas Carlos,1950-01-22,1.95,lateral-direito,16
Rafael Henrique,1984-06-28,1.73,volante,12
Felipe Lucas,1966-05-04,1.86,meio-campista,14
Marcelo Igor,1979-01-12,1.81,lateral-direito,6
Samuel Nathan,1990-03-26,1.85,lateral-direito,7
Thiago Rafael,1969-06-09,1.81,lateral-esquerdo,18
André Paulo,2012-10-12,2.07,lateral-direito,2
Samuel Diego,1965-04-19,1.84,zagueiro,5
Gustavo Bruno,1981-09-27,2.0,goleiro,7
Gustavo João,1991-07-21,1.58,volante,19
Marcelo Nathan,2011-12-15,2.07,goleiro,20
Gustavo Gustavo,2015-02-25,1.6,lateral-esquerdo,16
Rafael Lucas,1964-10-21,1.74,lateral-esquerdo,4
Henrique Otávio,2019-03-10,1.65,meio-campista,15
Igor Felipe,1965-08-08,1.56,goleiro,5
Lucas Gustavo,1966-10-01,1.9,zagueiro,4
Gustavo Paulo,2016-04-14,1.97,lateral-direito,14
Otávio Marcelo,1953-04-17,1.6,atacante,4
Bruno Samuel,1964-12-11,1.75,lateral-direito,15
Thiago Felipe,1995-02-27,2.02,atacante,15
Eduardo Victor,2016-05-23,1.82,lateral-esquerdo,18
João Lucas,1956-09-15,1.53,meio-campista,16
Gustavo André,1957-05-16,1.86,lateral-esquerdo,3
Eduardo André,2009-11-27,1.55,volante,17
Marcelo Diego,1957-04-21,1.62,goleiro,16
Gustavo Victor,1954-11-25,1.68,volante,10
Henrique Carlos,1954-10-22,1.64,lateral-direito,8
Marcelo Willian,1984-05-22,1.54,lateral-esquerdo,2
Diego João,1971-10-19,1.91,meio-campista,18
Rafael Rafael,1978-05-25,1.92,volante,17
Diego Eduardo,1957-09-06,1.51,goleiro,20
Willian Henrique,2015-05-26,1.78,goleiro,19
Henrique Samuel,2020-02-28,1.69,lateral-esquerdo,20
Marcelo Samuel,1958-06-02,1.53,volante,9
Samuel Willian,2012-12-24,1.55,lateral-direito,14
Victor Thiago,1963-02-11,1.59,volante,18
Otávio Marcelo,1974-01-27,1.92,lateral-direito,17
Nathan Carlos,1984-07-14,1.67,goleiro,14
Lucas Marcelo,1973-11-26,1.87,lateral-esquerdo,10
André Samuel,2016-08-20,1.58,lateral-esquerdo,16
Victor Thiago,1989-02-23,2.0,atacante,7
Otávio Bruno,1989-04-14,1.7,goleiro,9
Victor Igor,2017-10-21,1.72,goleiro,2
André Felipe,1962-09-19,1.84,atacante,1
Nathan Nathan,1967-10-09,1.6,volante,10
Otávio Carlos,2006-06-24,2.08,lateral-direito,17
Diego Bruno,1955-05-04,1.73,atacante,15
Bruno Bruno,1972-06-11,1.61,zagueiro,7
Rafael Rafael,1955-01-15,1.53,goleiro,14
Nathan João,2015-12-07,1.86,goleiro,13
Marcelo Thiago,1981-07-24,2.08,meio-campista,5
Felipe Eduardo,1957-07-04,1.53,lateral-direito,13
Gustavo Rafael,2003-10-24,1.84,goleiro,2
Samuel Gustavo,1954-04-18,1.69,meio-campista,4
Henrique Paulo,1962-06-16,1.55,goleiro,7
Nathan Samuel,1993-03-12,1.53,atacante,18
Rafael Diego,1979-09-20,2.02,meio-campista,18
Bruno Nathan,1964-07-15,1.6,meio-campista,7
Paulo Otávio,1950-05-13,1.55,volante,15
Carlos Marcelo,1983-05-06,2.03,zagueiro,7
Igor Paulo,2015-05-19,1.89,lateral-esquerdo,20
Igor Carlos,2009-09-13,2.01,volante,8
Diego Diego,1991-08-02,1.53,volante,3
Rafael Bruno,2010-11-08,1.55,atacante,10
Carlos Henrique,1964-11-23,2.09,goleiro,19
Paulo Otávio,1972-10-28,2.07,lateral-direito,11
João André,1960-09-22,2.05,zagueiro,3
Marcelo André,1976-07-05,2.06,atacante,3
André Samuel,1988-04-01,1.8,atacante,3
Paulo Lucas,1963-11-06,1.69,volante,5
Lucas André,2006-11-04,1.57,lateral-direito,11
Diego Lucas,1980-02-25,1.51,lateral-esquerdo,15
Henrique Felipe,1983-02-05,1.53,atacante,5
Otávio Felipe,1987-11-06,1.57,atacante,4
Paulo Felipe,1994-08-18,1.57,meio-campista,9
Gustavo Felipe,2003-09-09,1.9,meio-campista,20
Samuel Samuel,1988-07-13,1.98,atacante,12
Lucas Carlos,1999-11-22,1.9,meio-campista,16
Thiago Otávio,1953-05-13,1.76,zagueiro,14
Bruno Diego,1962-02-26,2.07,volante,13
Nathan Nathan,2018-08-08,1.63,goleiro,19
Otávio Diego,2012-05-13,1.99,goleiro,13
Igor Diego,1952-11-28,1.79,meio-campista,4
André Diego,2007-06-03,1.55,zagueiro,16
Nathan Willian,1960-02-25,2.04,goleiro,10
Bruno Nathan,1960-05-14,1.55,volante,2
Henrique Samuel,1983-03-12,1.65,lateral-esquerdo,2
Carlos Thiago,1999-12-27,2.09,goleiro,14
Marcelo Bruno,1992-11-02,1.86,goleiro,20
Rafael Rafael,1966-04-04,1.76,goleiro,19
Lucas João,1980-07-01,1.67,goleiro,11
Nathan Igor,1981-05-25,1.51,atacante,1
Lucas Gustavo,2006-04-20,1.81,meio-campista,10
Marcelo Felipe,2018-03-19,1.82,lateral-esquerdo,3
Willian Nathan,1998-04-21,1.68,meio-campista,15
Willian Nathan,1960-12-12,1.89,zagueiro,15
Willian Gustavo,1952-01-11,1.84,zagueiro,14
Otávio André,1973-11-26,2.05,lateral-esquerdo,13
Willian Eduardo,2014-08-04,2.09,lateral-direito,4
André Victor,2008-03-05,1.98,lateral-esquerdo,2
Carlos Carlos,1989-03-25,2.1,volante,5
Bruno Willian,1993-05-27,1.54,lateral-esquerdo,18
Thiago Felipe,1957-10-22,1.56,volante,13
André Gustavo,2015-12-13,2.02,goleiro,11
João Gustavo,2014-01-27,1.95,atacante,20
André Marcelo,1994-09-15,1.61,goleiro,15
Marcelo Eduardo,1973-12-12,1.54,volante,1
Lucas Marcelo,1951-04-07,1.81,goleiro,14
Rafael Lucas,1981-01-27,1.79,goleiro,20
Carlos Nathan,2008-05-05,1.88,zagueiro,5
Nathan Paulo,1986-06-03,1.98,lateral-direito,1
Nathan Henrique,1999-05-21,2.0,meio-campista,16
Paulo Lucas,1951-08-25,1.57,lateral-direito,10
Nathan Marcelo,1969-09-25,2.1,lateral-esquerdo,1
Thiago Marcelo,1996-02-23,1.65,volante,6
Samuel Lucas,2011-05-22,1.63,atacante,3
Paulo Paulo,2012-05-22,2.04,atacante,3
Henrique Igor,1970-11-13,1.84,lateral-esquerdo,5
Thiago Thiago,2012-04-13,1.86,lateral-esquerdo,12
Igor Bruno,1968-09-17,1.81,meio-campista,16
Lucas Otávio,1971-01-06,1.74,volante,5
Victor André,1975-09-17,1.76,meio-campista,3
Thiago Willian,2002-03-20,1.91,lateral-direito,16
Diego Rafael,1968-02-01,1.61,lateral-direito,1
Rafael Rafael,1969-07-15,1.93,zagueiro,3
Gustavo Felipe,2004-09-21,1.74,meio-campista,20
João Marcelo,1984-10-05,2.06,lateral-esquerdo,17
Gustavo Paulo,1989-05-17,2.04,volante,8
Diego Gustavo,1968-11-18,1.76,atacante,18
Gustavo Marcelo,1979-10-03,1.99,atacante,18
João André,1977-03-28,1.97,goleiro,14
Marcelo Thiago,1966-03-19,1.78,goleiro,16
Marcelo Marcelo,1989-05-23,2.04,lateral-esquerdo,13
João Marcelo,1954-07-27,1.6,zagueiro,11
Henrique Diego,1957-06-06,2.06,zagueiro,12
Victor Lucas,2010-10-03,1.89,lateral-direito,19
Otávio Samuel,1954-04-15,2.06,lateral-direito,14
Gustavo Victor,1994-05-16,1.67,lateral-direito,5
Otávio Diego,1956-06-05,1.91,meio-campista,20
Gustavo Marcelo,2019-04-17,1.59,lateral-esquerdo,20
Willian Willian,1981-09-05,2.05,zagueiro,1
Marcelo André,1952-07-18,2.1,volante,19
Otávio Samuel,1972-01-21,1.92,zagueiro,17
Lucas João,1963-05-11,1.55,volante,17
